corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
tegg,3821,4725,20,1
vsvt,49,8186,4,0
exjp,63,113,185,1
fwnh,54091,7704,118,0
zmvm,4946,55,14,0
lzcb,70,910,14,0
dddf,45,55,16,1
ebfy,34,659,0,0
wyho,62,355,17,1
ogls,22,450,19,1
hppq,4268,86,245,0
krwg,85,70,1758,0
kfpi,2523,217,122,0
mrpx,29,128,4,0
xvhm,1931,10140,3037,1
zofx,3324,71,1031,1
gnji,1772,554,24,0
jqwv,246,804,2,0
lplw,2953,140,0,0
rqyu,462,917,11,1
yrus,81,124,6,1
szcc,91,863,8,1
aiia,4,2451,7,1
krgb,7,5581,6,1
zydv,52,194,557,1
lgln,63,432,6,0
pdos,11,493,205,1
zjsw,37,699,19,0
azgd,49,406,19,1
ghgh,21,415,17,1
khzu,908,359,16,1
yhsw,2202,162,5,0
yorr,34,151,0,1
szhh,969,54,21,1
xfmg,94,3917,20,1
xpsl,91,61,628,0
vgnl,66,511,18,1
jidb,25,435,20,1
mkhy,12,15,144,0
akpr,2314,8414,562,0
erby,11,280,24,1
sjcc,2414,613,19,0
qeyr,87,201,1512,1
hzej,2847,456,64,0
pcby,80,2125,69,0
qtmu,84,407,246,0
rqbd,43,83,21,1
lfde,1949,437,242,0
meby,3183,129,10,0
visi,3038,220,12,0
xtcf,2310,683,44,0
gsre,941,39,426,0
kqku,692,1980,154,1
gapa,4700,135,65,0
nohv,1362,358,21,1
rrfw,86622,843,12,1
egwh,12,533,252,1
mdsh,773,337,962,1
xjah,2781,121,226,0
ddqz,47,179,16,0
ejcv,1989,3409,7,1
dyjs,80,1517,196,0
lsrs,2541,318,0,0
qcvi,94,4254,395,0
jomr,74,2231,3,0
furi,3314,87,1022,1
cmon,92,118,3455,1
cylj,1,94,18,1
mnio,1613,2298,2060,1
wrou,7,302,19,1
sbqo,37,710,23,1
emla,21,274,25,1
vhqd,8,5368,0,1
wixj,3995,556,17,0
xoip,25,153,1091,1
pktd,10,5420,240,0
gvvt,147,495,205,1
iwgu,42,4096,647,0
mxoa,25,140,40,1
scot,13,4552,25,1
qwvu,28,200,23,0
cpdu,1,4472,155,0
hybg,1048,30,528,0
oahp,2021,639,153,0
mdml,2594,382,178,1
pify,56,2445,433,0
mwjj,39,70,95,1
npbz,5,164,0,1
oeet,47,129,353,0
zlmm,65,295,434,1
dhad,60,509,210,0
ohas,67,1379,5,1
wbkt,60,115,6,0
gyak,600,464,19,1
plap,69,421,283,0
cqoe,50,816,106,0
rswl,2098,126,1471,0
vxxj,2514,209,1356,1
aram,2034,527,184,1
ycnx,47,195,6,0
ssaj,4040,406,117,1
zemy,64,90,3,1
ixtx,653,751,135,0
lgph,4582,388,6,0
jhye,221,118,2587,0
qqqf,15,668,186,0
ugfg,4879,489,21,0
qpex,88,316,146,0
nvbk,95,236,63,0
yaxw,2644,5954,159,0
ones,97,316,250,1
ffze,310,321,1247,1
mrbo,79,53,74,1
peru,38,541,3160,0
xlmj,81,73,22,0
dtlp,4590,95,2,0
pcur,84,283,17,1
jsyf,54,7250,2750,0
mwfd,1264,4360,21,1
rodi,50,325,358,0
ddrt,4563,116,20,0
rppm,524,141,2,1
jwvv,52,771,224,1
swcq,327,40,4,0
fsyv,3108,457,175,1
oukr,816,2290,17,0
txqh,1256,660,1,0
zqqi,166,307,230,0
pgsi,78,5467,1094,0
pihr,1144,734,20,0
hcqn,2051,2276,510,0
bakv,2913,253,3880,1
uufh,2545,1422,53,0
lpql,1881,895,22,0
bkxx,3141,298,8,1
usva,68,138,204,0
rlbv,1607,30,3,1
akkd,89,4366,14,0
ugul,99,23,446,0
pqbe,92,629,2953,0
bjqp,94,532,10,0
chww,33,40,212,0
oqib,2788,183,149,1
orzq,27,6967,136,1
sljd,99,656,0,1
uhns,330,90,25,1
puxb,97,265,1147,0
iyxi,80,5935,121,1
lzpz,2,98,108,0
gmwy,2314,3848,20,1
sdae,4537,571,1885,1
zcbe,2717,544,7,1
thfx,39,652,169,1
jxuz,67,393,4,0
xjbo,53,226,18,1
zqfb,49,104,410,1
fmrx,39,4471,383,1
smpw,2535,480,8,1
jqct,1130,125,609,0
tyui,395,190,99,0
nlsu,3435,96,633,1
ywdq,2689,232,8,1
mvxb,37,17,18,1
uapw,9,133,333,1
vdfn,2,8878,24,0
odyb,77,290,117,0
kyzk,65,171,548,0
rqhg,3567,46,516,0
kzkl,3720,8060,215,0
jtpv,2562,396,492,0
glrx,17,0,39,1
vysy,4381,91,612,0
onfr,2856,6363,13,0
eiqy,1120,443,2,0
qacw,69,364,88,0
tknt,26,308,18,1
nbjw,6,530,282,1
kmuh,1287,3674,92,0
onvg,700,57,196,1
tjpg,2695,557,1870,1
bhbe,67,366,234,1
bpcw,1235,143,99,0
xfve,1684,4129,10,1
oici,1961,3821,90,0
prho,53,290,3,0
acme,101,10983,2,1
uili,3063,147,3,0
hncm,655,154,143,1
sttz,2358,2496,163,1
stli,50,579,54,1
mnkx,1713,17,7,0
lvac,636,343,0,1
sngl,100,1248,20,0
jhnj,83,757,3716,1
xodf,71,6076,1,1
rycn,38,468,190,1
dyph,80,133,1358,0
vpmd,4027,474,300,1
dvgd,50,40,560,1
vgpw,93,121,10,0
zzzo,33,6086,1,1
pjnk,54,180,409,0
lcxy,1298,1022,0,0
ezyh,2160,451,24,1
gceg,2416,9110,168,0
nyav,2018,762,198,1
ztqb,3742,29,6,1
anyh,1211,463,494,0
czwb,602,343,11,0
yvau,717,183,77,0
ixbf,95,446,59,1
jxaf,4430,174,18,0
fxef,7,7780,97,1
siqz,43,173,1176,1
onaq,3155,19,3,0
zhzy,3529,78,886,0
mqzy,59,26,1914,0
aplp,1064,756,2,0
igde,74,33,18,0
cjdm,1880,1412,6,0
lnrj,91,479,24,0
qaxo,1046,8601,142,1
lxho,1742,89,2,1
bhwi,77,463,39,1
mcex,2986,99,202,1
emsb,82,163,2637,0
inzo,11,47,1514,1
wafe,2113,21,63,0
exet,86,407,30,0
puoh,2022,254,13,0
vigp,80,421,9,0
hoyb,813,4,3,0
sgsu,32,10200,44,1
mqhg,21,227,12,1
jhbk,16,1644,2289,1
wede,92,829,135,0
jirt,44,275,131,0
qcmr,39819,1076,19,1
fvjp,155,13,7,0
ohyo,3,354,241,1
mbgg,127,8619,306,0
ubpx,54,147,100,0
pnws,126,346,661,0
pmbz,62,9227,40,1
wdrb,46,214,135,1
uwwr,39,334,242,0
zsrh,1642,330,12,0
xrrg,31,137,429,0
mflt,8,1169,12,1
kyqa,638,7803,290,1
yhqk,23,3089,236,1
hmij,2977,346,25,1
vhgi,99,4419,75,0
ckxv,4421,6492,3,1
qtfy,52,193,22,1
pdgs,48,244,189,1
rneb,21,6564,5,0
oofb,1955,1080,15,1
wfdg,60,5905,629,1
uhdn,73,133,19,0
gamb,15,566,134,0
rtun,2710,101,173,1
jrvf,95,135,238,1
woqx,62,6321,4,1
rtth,35,131,9,0
lpbj,2986,209,11,1
okun,2271,828,96,1
lxwc,4913,61,10,1
rqfx,41,8217,1176,0
ollo,47,480,123,0
qdom,26,695,142,1
wzev,61,41,18,0
hnds,586,135,25,0
hilg,33,518,16,0
eweu,68,7829,19,1
ugxo,1956,2836,3,1
xcnh,2,247,15,0
gzct,3,264,11,1
emmh,2242,815,21,0
tayq,51,110,403,0
ybme,790,3,57,1
usyt,17,5,75,0
scot,88,60,158,1
xhsl,2697,68,103,1
dzhh,3044,21,5,0
pard,19,1008,133,0
iwwe,34481,623,21,1
dvvr,54,5612,1090,0
gyip,15,355,227,0
onkn,2579,373,105,1
tveg,3795,0,10,0
avwe,1000,687,15,0
aass,10,528,65,1
xgpy,4409,75,150,1
ougx,17,8525,6,0
xlsb,3147,599,18,0
wqxl,36,83,636,1
ppuh,1777,29,484,1
dxdh,2908,278,440,0
yxbe,1915,110,206,1
nukt,73,1544,0,1
iirf,75,12,143,1
lioh,3100,7165,522,0
nouo,48,3505,4,1
feop,2267,139,9,1
tlkg,2201,9905,67,0
sfox,2691,73,499,1
ltyh,1440,396,0,0
mzad,8,15,9,0
zbgw,66,7709,500,1
zahy,22,919,24,0
aaek,12,655,14,1
vghv,0,173,17,0
trtm,7,553,257,0
qzps,1,871,220,1
mywi,97,1455,211,1
ezal,29,112,246,0
oktn,3943,341,209,0
ixwc,678,578,193,0
odlb,17,370,25,0
ouhp,51,451,20,1
hcyv,40,182,3,1
rprn,25,164,29,0
pklc,1031,8012,401,0
wssp,897,506,544,1
xndf,28,70,15,1
uxph,17,1750,250,0
shnv,2123,220,33,0
rucg,2911,217,2499,1
bctl,1523,8720,150,0
mpqn,3816,4031,18,0
glkd,1425,464,86,0
aban,4533,565,7,0
nbhi,4300,218,103,0
wies,4723,87,1,1
lvnl,2223,1062,244,0
wree,3518,159,23,0
lsed,97,217,17,0
kapu,38,15,20,1
xksu,78,529,168,1
srom,4,55,23,1
mgdd,44,119,533,0
dvyx,35,102,6,0
copc,744,7598,193,0
eevg,72,843,27,0
seyp,4998,546,1135,1
mfrc,4309,535,98,1
esyv,11,168,127,0
dvvr,504,9,23,1
sphe,2921,3909,119,0
hatg,1050,408,259,1
ztoq,35,545,86,1
zyjp,33,353,4,1
bopy,31,8028,10,1
eixq,727,2408,25,1
ghcj,117,443,19,1
czlm,2065,381,74,1
gdyr,33,162,955,0
ifan,1061,113,567,0
svxv,30,1737,189,1
ohbh,30,6,0,1
cpmj,2973,583,3378,0
fftb,1735,824,19,1
drjf,50,556,17,0
gvev,2444,2379,123,1
youq,3303,595,1,1
bqlx,686,3782,103,0
nyji,1951,3610,20,0
vebu,10,3636,1940,1
gdpp,2090,753,40,0
sjkw,373,8,3491,0
bfbu,95,9672,174,0
jhei,59,86,157,0
exkt,3123,91,159,0
aeim,4543,7771,14,1
oirv,2419,130,25,0
nolc,73,14,23,1
cmss,76,35,525,0
ijzu,6308,507,4,1
ygtu,78,217,2141,0
yfgp,100,313,10,1
odcm,2353,212,201,1
ihht,81,0,253,1
xsey,4548,7235,19,1
zlpb,3,7097,167,1
zbtj,595,7779,585,1
shul,41,72,16,1
fqdg,76,5627,452,1
gtjt,53,144,18,1
xeza,4981,127,280,0
rrhg,970,6184,3885,0
fupv,18,579,1764,0
hspd,1090,61,21,0
mrwc,4705,397,4,1
ppgm,11,37,359,0
xovf,1797,138,666,0
wfjf,83,887,3947,1
ozag,4545,2670,273,1
hulu,2372,447,347,0
lscn,4564,330,459,0
ohhm,13,8877,412,0
grfc,40,942,194,0
pqyj,971,936,122,1
eyxj,651,636,190,0
hlhs,71,957,13,0
aivc,4,31,17,1
bnuu,77,4835,391,0
aopo,66,2930,17,0
javd,96,820,77,0
efwy,19,296,79,1
grus,66,4834,162,1
umje,272,21,233,0
tjsc,1493,5788,142,0
cabp,1631,460,0,1
ozvq,94314,1086,25,1
cgzy,1994,134,6,1
gqlr,15,5812,87,0
whsi,90,924,43,1
xzlu,2811,131,10,0
wttq,2021,53,15,1
tfgy,1960,267,204,0
uzec,526,877,195,0
fhsh,1403,562,141,1
dcss,29,54,1,0
ffnd,44,309,23,0
yovr,331,5084,71,0
ffqx,49,430,48,0
iflr,614,48,5,1
snmv,11,3350,138,0
wjkj,43,6455,7,1
pfld,97,73,12,1
desf,4804,6299,443,0
spjf,2125,177,245,0
asta,52,89,24,0
uiyc,1115,150,150,1
bqcd,78,130,11,0
vpfz,80,291,3,0
jiif,97,873,16,1
lsvg,2943,132,113,0
ilpl,3650,2975,975,0
xflw,1352,518,25,0
gknd,67,594,17,0
omot,44,597,186,0
ofex,82,7195,4,0
zgsi,11,1616,17,1
kxii,47,492,3431,0
akst,52,6717,480,0
ziav,2400,1097,165,1
bbbt,40,79,58,0
ajig,67,847,10,1
clfb,56,20,309,1
cltq,84,192,20,0
ebsp,5,374,175,0
bive,51,8445,1,0
obha,26,6738,94,0
iuun,422,5390,23,0
vvat,80,364,0,0
iujc,1833,402,80,1
hdke,2001,468,632,1
rzff,17,170,223,0
kxmi,82,105,5,1
tzso,75,910,118,0
ejia,50,52,19,1
dhen,100,1024,4,1
tntl,1792,534,21,1
kqff,20,160,10,1
ikaq,687,53,8,1
tidz,3,118,20,1
aope,82,707,3,1
tzjz,32,459,595,1
imok,63,271,25,0
zlut,31,64,1223,1
xaqy,87,3379,20,0
rgeq,41,130,199,0
sicj,52,20,9,1
ezzp,77,51,6,0
blbu,6,4800,1556,0
bwaa,72,677,18,0
mvli,84,400,2,0
igiu,16,1546,125,0
clmc,4589,294,410,0
zdgk,47,547,4,1
kgbx,4189,75,10,0
zcpp,36,270,270,0
rrio,36,102,13,0
hegz,22,600,477,1
bmip,4,387,1563,1
uman,4085,577,207,0
hdwv,1412,202,1106,0
nryo,77,336,262,0
knqh,60,370,23,0
dhfv,1521,104,11,1
uxix,1111,1144,17,0
uegt,4496,4356,18,1
wndt,42,357,18,0
wpfx,113,794,14,1
edne,78340,387,14,1
pqjg,96,509,4,1
zmuy,76,7712,377,1
xzod,82,677,13,1
brnh,59,82,1,0
mmzf,87,423,443,1
xdlo,10,87,2,1
deix,4845,380,17,1
dtmp,11,9039,6,1
bvfp,1782,118,23,0
pwce,4084,592,617,1
ubkp,40,4,14,0
sbgu,39,130,89,1
lctc,73,172,14,1
gpje,22,6675,556,1
edwm,25051,10726,13,0
mvea,4210,480,22,1
ngrd,9,45,1,1
tkny,2375,7923,16,0
kxwx,10,101,13,0
wtxe,79,78,240,0
vtnn,679,3211,6,1
aqkq,34,266,23,1
juvy,2426,248,9,0
unom,285,65,12,0
hajf,70,582,62,1
cqls,98,116,294,1
sbib,10,5773,521,1
dvsl,810,93,8,1
spzn,2653,12,1616,0
hvin,97,568,5,0
foac,2001,658,17,1
aehs,929,130,713,1
pzjz,54,38,14,1
zyuw,1470,6597,15,0
nble,96,770,10,1
dqjc,81,171,5,0
rzob,1701,566,13,0
kpsp,2850,402,236,0
vyrj,9,146,504,0
ucch,4615,363,1190,0
sjwm,4091,7517,504,1
ywmp,87,242,32,0
wcml,51,8621,146,1
iybx,1046,446,217,1
bndp,1126,850,124,1
iani,4716,232,74,1
wkvk,3,177,4,1
tuni,33,270,21,0
walb,98,134,25,1
xqfx,37,55,7,0
eyur,35,499,109,1
gsza,61,258,13,1
ugfv,2239,1486,711,0
waqc,3170,439,3,1
tpow,90,17,13,0
oull,484,7154,436,1
glfx,1838,255,826,1
efuv,1942,449,25,1
arwt,10,57,7,0
enii,54,135,18,0
prjl,63,856,1845,0
yoyt,69,54,325,0
hhdy,2860,4208,56,0
ejvs,536,199,222,1
jwwf,99,378,5,1
phqx,593,387,317,1
liif,89,944,17,0
zzze,57,491,414,0
biel,2081,4831,357,0
zuah,51,358,4,0
fjey,62,4524,3400,1
pivl,54,481,13,0
dmby,13,121,1,1
njzh,90,278,6,0
hhtv,675,6064,136,1
gend,16,405,56,0
fotn,2801,443,11,0
fewq,1811,172,41,0
wtcc,20,24,63,1
xzsu,11,1081,25,1
iceo,1827,199,1162,0
oqmo,1609,148,425,0
dwdj,95,5672,257,0
jdav,41,5774,155,1
utst,2131,604,54,1
qvbc,31,326,7,0
nyjv,27,8114,159,1
dunk,88,133,20,1
bgmk,88,435,203,0
allq,1865,97,406,0
krup,41,126,19,0
rfno,2,623,96,1
vyys,96,124,61,0
egmx,0,1046,57,0
bhog,100,28,17,1
gpen,19,414,6,0
kuzu,1332,396,15,1
tptc,4664,130,19,0
vwue,2993,450,59,1
tbvv,63,437,416,0
ibgl,1952,572,115,0
mdnb,1871,133,229,0
mfpu,2108,469,84,1
gglm,36,277,33,1
admj,850,437,625,1
cuzb,578,1051,16,1
lyht,1198,432,6,1
xiou,79,208,22,1
bvat,90,267,519,1
scfv,1268,741,22,1
paxq,79,356,348,0
fqdr,2747,627,117,1
mvld,17,425,16,0
uavn,963,134,1125,0
siyx,233,116,78,0
qhsd,16,5,10,1
bsst,43,0,239,0
vuqi,2953,69,1532,0
pxsg,645,183,13,1
tcqs,29,28,63,1
xksd,86,26,475,0
yvht,76,164,99,1
aclf,18,228,986,0
oawm,1036,422,20,0
iuyx,4572,145,591,0
gomg,83,469,271,0
paje,23,455,480,0
dzsu,67,1065,156,0
cxgt,2040,18,1782,1
cxlo,73,8306,4,0
nkzs,86092,28,7,0
kgeb,53,409,3,0
gpfw,93,141,224,0
wbcm,1045,3279,74,1
tazm,86,384,6,1
hgrs,30,219,76,1
uogp,70,297,3,0
piwe,42,250,13,0
nclb,52,593,25,1
oxjh,383,503,7,0
ihyd,7,2931,7,1
xobh,135,541,24,0
atmy,4526,7739,126,1
jmih,1469,256,130,1
yagu,58,569,7,0
jxod,36004,680,13,1
jzrz,11,133,676,1
imii,88,3798,16,1
mfmh,47,131,7,0
oqxn,34,831,65,1
lqrj,18,7805,154,0
bkrl,60,774,2535,0
sjhg,86,378,269,0
yiyl,21,5044,345,0
wuok,1250,240,10,0
yjkd,3353,2221,161,0
glfx,84,16,128,0
reua,66,214,24,1
udot,8,61,20,1
eopf,1170,174,1674,1
lwkp,2666,152,10,0
aidm,4151,456,19,0
krro,64247,3521,21,1
dztj,2202,7088,204,1
kvcy,1764,197,498,0
okui,55,7916,404,0
zqgj,720,3,22,1
okra,5,595,1776,0
kiay,619,398,32,1
lsbx,84,233,219,0
oaeg,2442,85,345,0
ludj,15,30,1,1
ebog,46,77,1532,0
mnwq,94,140,647,1
zumj,63,6401,24,1
rcoj,4777,323,14,0
ousr,2473,965,16,1
oced,0,183,20,0
aapk,21,18,6,1
xqzs,965,180,11,0
fnjz,169,9112,2750,1
firf,6,5066,1923,1
saxr,33,434,780,0
mfgl,41,37,3712,1
dqqf,92,112,353,1
weeq,38,66,211,0
pbkh,58,86,3040,1
chdk,38,35,8,1
lmsh,0,78,13,1
zkpr,26,7809,5,0
vtzd,695,8627,448,0
rusj,3875,48,239,1
qnrj,74,199,3350,1
ulzm,25,362,841,1
ymen,16,3345,19,0
huvp,56,173,4,1
bafs,79,39,375,0
waoe,1084,1680,153,0
iabo,48,310,82,1
pcyb,93,241,24,0
uzux,7,60,4,0
gvaa,3666,8093,398,1
rcrw,2179,119,5,1
rlvt,3226,207,1858,1
nsyg,2508,7588,7,1
ccos,1541,199,299,1
tscz,1798,344,8,1
adpb,55,460,533,1
rwmq,11,3765,126,1
dtuz,71,399,69,1
ynvf,100,26,482,0
dinp,2317,184,4,1
iqxr,62,26,287,1
bmxe,671,253,20,1
qvto,2516,8429,24,1
trbr,3176,228,14,1
gnxc,43,165,16,0
cvgf,25,79,534,1
sfbz,85,46,106,1
uynm,1082,591,25,1
gjxb,8,51,6,1
vvju,1055,897,158,0
dvmv,35,294,902,1
yoyx,2282,597,323,1
gvbc,51,57,24,0
graz,4926,421,86,0
jkro,93,609,105,0
mgvt,91,41,855,1
usab,22,7730,51,0
bvda,3729,123,572,0
taed,1244,483,279,0
aybv,43,1028,153,1
gapa,17,489,223,1
lsid,68,282,14,0
ethv,874,1085,96,1
amhe,3425,408,18,1
picv,2274,375,20,1
hhtp,47,391,153,0
cvxt,84,8824,1515,1
nect,1657,5378,14,1
odkr,3821,7860,9,1
zzgn,92,203,24,0
nprj,26,510,111,0
qyin,68,188,199,0
qita,1330,2133,18,1
whfy,39,243,182,1
lcwm,13,489,8,1
eqmg,1443,258,12,1
cgvu,82,947,787,0
nqen,59,131,97,1
izaz,45563,286,12,0
qwer,2989,9982,90,0
jfqj,90,393,149,1
mqro,2809,159,257,1
wqez,71,900,468,1
yzew,47,336,8,1
vmxe,27,3,327,1
xouq,33,2888,183,0
gqag,75,3297,500,1
vjda,83,6047,601,1
xsar,1305,199,121,0
wnxz,80,594,11,1
fgij,99,390,8,1
oyuf,935,238,84,1
abyu,2460,2155,282,1
ppoh,56,313,1,0
srkr,4961,556,235,0
fvcs,4914,98,119,0
fvuw,47,426,23,1
dbax,64,171,289,0
bhii,3368,1716,354,1
toef,1980,7544,52,1
kewp,4469,337,8,1
vpwf,3590,228,1952,0
ypty,699,558,4,1
hxqm,1324,1930,7,1
pnng,42,383,242,1
wssl,457,64,22,0
gnbd,53,212,14,1
fefw,583,275,909,0
gwqb,6,52,18,0
sbmd,2999,148,23,1
shsg,3838,35,62,1
bmsv,1279,561,20,1
ysba,25,6675,213,0
bppa,1802,1,126,1
gjvu,50,371,172,1
jogz,2776,436,6,1
kmlb,94,73,175,0
vbmk,4532,84,206,1
zpox,4532,343,225,0
smdi,4260,228,482,1
cqfd,0,179,14,0
daat,83,4,1383,1
huha,2958,151,18,0
sxzp,61,447,559,1
vpwt,2095,370,23,1
bkfk,53,463,481,1
hvqr,59,4222,126,1
arah,50,35,15,0
xkbr,39,4887,75,1
zjpj,55,530,0,0
sshw,2858,258,132,0
fpyt,44,341,1,1
qmaw,97,42,236,1
dtad,48675,9088,12,1
szrk,2034,6379,148,0
nexl,4686,49,192,1
bweh,3,469,244,0
vppi,90,46,2,1
mhbc,85,100,36,0
bgny,2864,365,2,1
xwdg,2175,493,869,0
qaen,60,4841,438,0
fesf,3437,91,255,1
ncnx,2455,3911,119,1
viql,9,143,17,0
wyki,185,9166,211,0
keag,4346,361,258,0
doxx,50,441,141,1
skst,71,12,296,0
rnce,55,692,427,0
ajlu,2985,390,5,0
hqpc,8,6041,13,0
wzyt,73,729,174,0
pesy,414,46,198,0
yzbw,5,191,10,0
kwwq,24,29,12,0
mlpk,86,9134,214,0
gnhi,3773,71,650,1
dvqq,2383,2144,176,1
xgjc,0,29,3,0
envt,39,5728,119,1
ocpz,36,62,536,1
ymmd,68,134,4,0
cnrs,4583,130,406,0
tnxh,1188,209,176,1
nhdx,985,488,16,1
jarh,82,5530,30,1
wafn,6,3861,1264,1
ntot,2093,8120,22,1
wtcl,2778,405,4,0
cjei,47,400,21,1
clli,3340,566,136,0
clhx,77,322,68,1
jmft,2708,436,1817,0
xocc,2910,9051,2735,0
tzta,92,5057,4,1
ipfy,821,285,610,0
lpky,55,545,9,1
ulgq,2707,371,18,0
vbcy,50,368,104,1
tplm,5,966,325,1
vjut,63,328,8,1
nill,2770,8755,1656,0
xdpm,62,48,422,0
lgez,2258,4,16,1
rmmx,94,82,7,1
gvhj,25,136,0,1
vdvp,840,953,25,1
dfjp,52,219,98,1
fzkl,80,130,24,1
kyyh,4594,45,169,1
dket,1,593,7,1
morn,2988,365,0,1
jhhp,93,58,23,1
waep,16,411,6,1
kxdj,2527,100,330,1
buii,12,200,17,1
zpyw,66,1053,76,1
mrmw,1004,427,8,1
oswu,64,255,73,0
fpvd,2,5916,6,0
auyw,5,62,3007,0
gxlo,141,99,1637,0
ljap,91,9,212,0
lxdx,7,82,102,1
cqfu,77,9596,1375,1
xzaa,19,35,626,1
pxke,1768,338,0,1
mcyx,90,31,541,1
hihl,96,577,16,1
rxkm,4675,8778,168,1
embq,1262,8591,84,0
gcja,3943,107,8,0
hrah,20,3079,98,1
ptng,2886,181,24,0
ufoo,4899,194,261,0
irpw,13,246,15,0
cklb,82,63,1,0
yqdb,91,271,157,1
vbcb,23,820,32,1
enie,4927,4122,283,0
mkyq,39,417,1525,0
ayym,2172,406,249,0
ajvb,32,360,157,0
glhi,1514,31,244,0
tqzv,21,953,3402,0
sudt,83,711,21,1
oyje,2458,468,23,1
ajbe,487,2817,1518,0
bcdj,813,145,6,1
qadz,45,38,165,1
fsot,10,358,7,0
ifiz,2246,6635,449,1
edfa,78,82,19,1
rmcz,4713,7558,8,0
kbsp,1667,984,10,1
rdsb,1069,224,2,0
wcle,3694,302,17,1
tkef,1430,14,733,1
pzro,2504,423,210,1
ajyd,2011,137,8,0
vvbh,81,8900,21,1
fyjs,286,5931,19,0
plnn,96,209,49,0
xmte,3812,2850,1304,1
oqwa,2237,719,3,0
jxps,2400,1095,68,0
uzqq,728,309,1890,0
axji,9,565,2352,1
frek,906,566,156,1
bfqu,1894,3385,32,0
qjdf,79,110,13,0
stzp,2724,85,14,0
gvnx,2025,65,492,0
yxlo,30,309,2419,1
ethv,56,243,189,0
lsel,93468,561,101,1
bbcp,31,8,235,0
wtuk,21,373,753,0
iyfj,81,224,21,1
cxey,63,14,14,1
cinq,85,559,245,0
bady,77,465,230,0
lfgu,79,69,492,1
jyjx,77,5650,1,1
rsrt,23,585,18,1
skka,72,128,9,1
mmcq,73,299,436,0
xxdb,76,30,8,0
slzc,56,475,596,0
uplv,47,7366,202,1
sfvy,14,305,673,1
loga,1104,366,22,0
dabc,1468,5275,380,1
byeq,38,214,21,0
yvvt,1134,2364,4,1
pmmj,1684,36,22,1
hfqj,55,87,1474,0
rjlz,937,1068,2356,1
fous,92,4900,35,1
myfi,1,8596,11,1
puex,28,341,194,0
cbhw,4765,226,54,0
ytcx,85,560,10,0
mkii,2844,49,386,0
igqv,18,116,56,0
ecua,10,6779,400,0
fiwp,91,125,28,1
cpcs,83,494,9,0
dkjh,983,146,207,1
awzi,66,3991,1475,1
hvgx,82,131,23,0
mcgp,38,478,19,0
vqjw,1556,307,212,1
zfgo,43,574,16,0
hiob,591,49,236,0
pdgh,53,473,15,0
slmx,13,7126,30,0
aydt,1533,347,220,1
roen,3218,2673,422,1
blak,37,248,414,0
kqnt,57,211,117,1
papm,32,397,50,1
bqhn,94,432,21,1
mkox,2492,37,430,0
qhkl,31,1,28,1
iyfe,74,8041,104,0
oeyn,3785,117,175,0
ursm,62,450,4,1
nomj,841,120,18,1
qdfg,2152,813,23,1
dnjn,66,553,55,0
xyty,90,4221,1035,0
ukai,2363,519,585,1
wyuo,9,531,20,0
tmsm,4141,8840,410,0
ltfr,82,5546,1820,1
xwzj,64,5088,5,0
nuqt,37,237,14,1
ryas,67,278,456,0
jssl,30,3670,15,0
zjll,1150,744,234,1
uthm,1869,9,386,0
eezj,9,516,16,0
ywvv,2458,256,160,1
nsrw,4610,428,83,0
bhif,385,429,0,0
jbaw,0,353,1951,1
xgfr,1731,313,22,0
qlas,991,103,18,0
wpux,1135,4872,835,0
ttvi,2724,147,167,0
kgku,59,7026,22,1
apkq,4058,174,18,1
eopf,52,106,227,1
gksv,4528,7,16,1
tejw,79,4893,14,0
hgrk,16,565,154,1
xslf,27,4357,52,0
gchp,281,144,239,1
nqqa,7,569,910,0
kiut,91,58,148,1
pvvx,3625,97,13,1
yaxr,96,101,5,0
jxpf,41,5342,13,1
fqjq,18,472,645,1
ieye,95,64,2,0
qfqo,667,9108,111,1
tegy,2227,9510,3,1
xwvz,1833,114,53,0
nyrp,69,27,105,1
vgyp,45,560,0,1
ieca,41,5416,14,0
ghfg,83,284,18,1
trls,4569,76,2,0
ihhu,19,362,15,1
lilm,6,242,24,1
ehey,33,43,22,0
fqqk,26,76,22,1
fild,64,586,13,1
hnfj,1085,784,136,1
gogz,643,931,146,1
rqjn,64,6556,11,1
zcce,2808,2446,20,1
eokl,68,18,24,0
gnzv,3546,353,15,1
julv,2606,2536,18,1
pioa,145,686,195,0
wnne,1563,6212,0,0
zyhs,57,2271,6,0
tvls,26,366,1,1
nqvi,71,5645,17,0
iiko,4062,1323,5,0
gktz,2162,148,203,0
moms,4639,315,606,0
lxxo,2498,2058,4,0
bhod,18,38,12,1
mwmq,87,98,17,1
aqmk,1011,565,23,0
lnbd,64,837,192,1
qtwk,95,654,23,0
uvhw,48,34,24,0
maby,29,779,23,0
qfhp,60,597,350,0
mqpt,34,249,20,0
zbdh,50,62,125,0
ogon,3516,145,392,0
lgoc,52,136,551,1
nobb,1176,968,27,0
johg,89,329,2555,0
thov,4012,116,391,0
ktwj,2566,1024,87,1
dwao,11,594,277,1
htyo,24,50,6,0
zzcy,21,479,200,1
dvzz,28,540,83,0
vcmx,47,1080,215,1
fret,80,113,1,1
ijeo,44,261,76,0
brik,1526,533,6,0
maix,1319,114,1255,1
brox,1750,374,279,1
kctx,37,282,5,1
mcup,42,475,22,0
ilfo,43,56,8,1
